SU_ID,LS_Maria2017,SU_Area,SU_Perimeter,SU_P.A,SU_P.sqrt.A.,SU_Max.Distance,SU_D.A,SU_D.sqrt.A.,Dist2Stream..MEAN.,Dist2Stream..STDDEV.,Eastness..MEAN.,Eastness..STDDEV.,Elevation..MEAN.,Elevation..STDDEV.,Northness..MEAN.,Northness..STDDEV.,PlanarCurvature..MEAN.,PlanarCurvature..STDDEV.,ProfileCurvature..MEAN.,ProfileCurvature..STDDEV.,RSP..MEAN.,RSP..STDDEV.,Slope..MEAN.,Slope..STDDEV.,TWI..MEAN.,TWI..STDDEV.,UniqueID,Forest,Agriculture,Builtup,Roads,Bare,Quarry,RGA,CRL,YPD,YPC,YPV,YPI,BAP,BAO,BAY,IGO,IPL,IGY,IBP,OPL,PBA,PPD,PCR,PLI,PIC,PLP
Pol_614,6688,352795.1735,3213.9436,0.00911,5.410993,1092.800073,0.003098,1.839837,140.539853,92.122184,0.439647,0.519793,357.835473,49.38595,-0.579495,0.448008,-0.000731,0.010353,0.000236,0.010158,0.496206,0.326561,21.96915,8.114664,5.331408,1.523207,614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_615,1888,230052,3691.861543,0.016048,7.697193,1296.533841,0.005636,2.703154,120.166594,90.771168,0.682869,0.359119,648.080038,111.658995,0.389289,0.503167,-0.000258,0.018296,-0.000191,0.01771,0.528886,0.348898,28.168332,11.625846,5.02428,2.151928,615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.6,0,0,0,0
Pol_616,1492,333386,4527.105576,0.013579,7.840557,1512.969266,0.004538,2.620333,84.976596,56.510066,-0.661631,0.341832,582.141278,126.904661,0.39032,0.541337,0.001328,0.040914,-0.001322,0.038339,0.433758,0.299427,37.089782,11.756645,3.943549,1.745258,616,0.97,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0
Pol_617,0,26645.74487,1155.955451,0.043382,7.081531,440.215576,0.016521,2.696817,93.813107,63.654124,-0.666702,0.365459,18.536881,13.166222,0.437531,0.480119,0.001139,0.02774,-0.008055,0.058854,0.239043,0.230381,30.223215,16.354978,4.183357,1.828348,617,0.24,0.55,0.02,0.02,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_618,3548,359789.5367,3555.416936,0.009882,5.927428,1157.414376,0.003217,1.929588,124.633282,70.33598,0.002741,0.622979,1322.113237,48.398806,-0.699137,0.350852,0.001268,0.00905,-0.00031,0.010444,0.676214,0.299598,23.834926,9.172003,5.210557,1.365388,618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pol_619,1824,656559.3104,5432.237582,0.008274,6.70412,1847.958062,0.002815,2.280632,171.141473,109.106348,0.071652,0.502262,422.163282,77.200387,0.829354,0.234032,0.000459,0.009698,-0.000604,0.011429,0.516449,0.349834,23.483625,10.139603,5.621405,2.08122,619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pol_620,4184,597574,5220.689444,0.008736,6.753548,1680.08601,0.002812,2.17338,176.223858,106.990266,0.509846,0.464522,656.437789,125.430062,-0.494044,0.529336,0.000887,0.012839,-0.00046,0.012458,0.664866,0.30499,25.251842,9.071464,5.02354,1.491156,620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0.57,0,0,0,0
Pol_621,0,340726.1235,3252.218071,0.009545,5.571562,997.424684,0.002927,1.708746,121.327911,78.673461,-0.159033,0.609058,329.884103,62.886524,-0.683169,0.370185,0.000621,0.01121,-0.00016,0.0103,0.363679,0.309854,20.558142,6.962432,5.229252,1.567005,621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_622,8168,142214,2631.060413,0.018501,6.976854,960.408247,0.006753,2.546741,81.090281,51.715466,0.537828,0.36625,318.520704,67.444072,0.681431,0.335043,0.000295,0.012944,-0.000849,0.012341,0.422767,0.336982,23.001326,9.978688,5.300283,2.09501,622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pol_623,0,168270.1802,2889.084663,0.017169,7.042984,1018.985835,0.006056,2.484074,94.494475,67.836029,0.9093,0.128375,235.142653,53.88242,0.033895,0.394392,-0.000695,0.011006,-0.000316,0.008194,0.453163,0.339477,17.137809,5.531039,5.550554,1.805018,623,0.99,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
