"","SU_ID","ID","lon","lat","y.logsize","y.pres","Forest","Agriculture","Builtup","Roads","Bare","Quarry","RGA","CRL","YPD","YPC","YPV","YPI","BAP","BAO","BAY","IGO","IPL","IGY","IBP","OPL","PBA","PPD","PCR","PLI","PIC","PLP","scaledSU_Area","scaledSU_Perimeter","scaledSU_P.A","scaledSU_P.sqrt.A","scaledSU_Max.Distance","scaledSU_D.A","scaledSU_D.sqrt.A","scaledDist2Stream..MEAN.","scaledDist2Stream..STDDEV","scaledEastness..MEAN.","scaledEastness..STDDEV.","scaledElevation..MEAN.","scaledElevation..STDDEV.","scaledNorthness..MEAN.","scaledNorthness..STDDEV.","scaledPlanarCurvature..MEAN.","scaledPlanarCurvature..STDDEV.","scaledProfileCurvature..MEAN.","scaledProfileCurvature..STDDEV.","scaledRSP..MEAN.","scaledRSP..STDDEV.","scaledSlope..MEAN.","scaledSlope..STDDEV.","scaledTWI..MEAN.","scaledTWI..STDDEV.","scaledSU_Area.levels","scaledSU_Perimeter.levels","scaledSU_P.A.levels","scaledSU_P.sqrt.A.levels","scaledSU_Max.Distance.levels","scaledSU_D.A.levels","scaledSU_D.sqrt.A.levels","scaledDist2Stream..MEAN.levels","scaledDist2Stream..STDDEV.levels","scaledEastness..MEAN.levels","scaledEastness..STDDEV.levels","scaledElevation..MEAN.levels","scaledElevation..STDDEV.levels","scaledNorthness..MEAN.levels","scaledNorthness..STDDEV.levels","scaledPlanarCurvature..MEAN.levels","scaledPlanarCurvature..STDDEV.levels","scaledProfileCurvature..MEAN.levels","scaledProfileCurvature..STDDEV.levels","scaledRSP..MEAN.levels","scaledRSP..STDDEV.levels","scaledSlope..MEAN.levels","scaledSlope..STDDEV.levels","scaledTWI..MEAN.levels","scaledTWI..STDDEV.levels"
"684","Pol_684",684,-61.29573331,15.49108804,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183778679,-0.379148441,-0.645243168,-0.804778684,-0.393364649,-0.590184194,-0.769475022,1.007545897,0.548369052,-0.733084819,0.415135351,-0.011597049,-0.151102446,1.335055651,-0.486797178,-0.161665502,-0.994855792,0.059159667,-0.984690801,0.644282664,0.522294015,-0.882197433,-1.448651611,0.831496643,-0.261512456,-0.161439462,-0.381613508,-0.63325189,-0.786652679,-0.405962321,-0.614876949,-0.796674911,0.956484094,0.516282626,-0.699373115,0.375904988,-0.019535501,-0.112401368,1.366920257,-0.519569836,-0.161919579,-1.028384081,0.059159667,-0.942315319,0.595873213,0.501249719,-0.817682913,-1.323223576,0.821317454,-0.242071067
"685","Pol_685",685,-61.30717549,15.49071993,8.063377822,1,0.99,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946425391,1.158054398,-0.751030883,0.408641968,1.162992937,-0.729025497,0.10185863,0.901571785,1.629143312,1.433844098,-0.816265604,0.68025498,0.932839437,-0.543973927,0.305143113,-0.058509996,-0.882933523,0.241625468,-0.831571017,0.923095704,0.441472945,-0.456764726,-0.888833355,0.212705243,-0.801271701,0.871387534,1.122136382,-0.772729386,0.424948987,1.262373878,-0.732278434,0.089883829,0.956484094,1.941335669,1.53504503,-0.835594105,0.723077964,0.954033144,-0.535121913,0.389056866,-0.058891112,-0.846432622,0.245622191,-0.850894845,0.883270454,0.439425506,-0.488612302,-0.863379605,0.265625115,-0.826565187
"686","Pol_686",686,-61.46106788,15.49120561,NA,0,0.96,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068061281,0.338979316,-0.469130666,0.29054652,0.352406195,-0.483280826,0.113014702,0.623873177,0.621641672,-1.033515477,-0.882312708,-0.659113416,0.055165884,1.299579596,-0.126263997,0.161013052,-0.194255547,0.354763487,-0.335034852,0.359767991,0.657899908,0.080427475,-0.215661269,-0.266598266,-0.639929967,0.02176136,0.348363315,-0.501558207,0.272137375,0.417489737,-0.481062914,0.089883829,0.708151693,0.516282626,-1.013233048,-0.835594105,-0.684457355,0.031776602,1.366920257,-0.179387199,0.195313528,-0.187619019,0.310338368,-0.318855584,0.378991159,0.669567144,0.046158973,-0.181209919,-0.32674589,-0.691509253
"687","Pol_687",687,-61.30528812,15.48824054,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.037493961,0.863996803,-0.867036729,-0.095242308,1.06516356,-0.775897374,-0.090059584,1.179203912,1.723941107,0.041567228,0.451015348,0.697097319,1.004949748,1.644656094,-1.728899933,-0.14388007,-0.730639046,0.144166902,-0.831317424,1.017814483,0.672759671,-0.355862673,-0.616228815,0.286246125,-0.581298907,0.871387534,0.76976044,-0.84275364,-0.051762666,1.262373878,-0.795784653,-0.037740646,1.314053722,1.941335669,0.092323402,0.512738062,0.723077964,0.954033144,1.693372865,-1.68297884,-0.161919579,-0.752346021,0.138940417,-0.850894845,1.163671061,0.669567144,-0.354691568,-0.590421826,0.265625115,-0.579984617
"688","Pol_688",688,-61.30093909,15.48734168,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035341196,-0.05095252,-0.67126935,-0.466780453,-0.082311121,-0.644892694,-0.574205646,3.77724484,3.099666039,1.544478924,-1.692348203,0.563810734,1.035847889,1.009893115,-0.936504843,-0.214005488,-0.972042729,0.212264922,-0.845721537,1.523635986,-0.054461098,-0.228537815,-0.690250046,0.631343676,-0.682053604,0.02176136,-0.080240415,-0.704628544,-0.496738267,-0.067056305,-0.614876949,-0.598599803,2.810783376,2.696639877,1.53504503,-1.630739471,0.510893742,0.954033144,1.056048629,-1.050951202,-0.228869027,-0.934124653,0.201658232,-0.850894845,1.676933717,-0.0559914,-0.223738411,-0.710244545,0.573038382,-0.691509253
"689","Pol_689",689,-61.39199874,15.49362101,8.85993147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0.08,0,0,0,0,-0.2992135,-0.628122714,-0.705530144,-1.218295492,-0.75986864,-0.700636221,-1.336574353,0.121520635,0.67283002,-0.708273571,0.619894496,2.913028683,0.018108862,-0.889932509,0.655623206,-1.055002348,-0.212160345,0.105121987,-0.422879657,-0.721954755,0.684073354,0.51020877,0.212097902,0.603845416,-0.373734579,-0.318266217,-0.638006287,-0.704628544,-1.3062151,-0.790427941,-0.674612718,-1.305443858,0.125280362,0.739388989,-0.699373115,0.66476867,2.953556096,0.031776602,-0.888373278,0.717672682,-0.867747156,-0.187619019,0.103277346,-0.414308195,-0.757452752,0.669567144,0.51850913,0.258034724,0.573038382,-0.409826658
"690","Pol_690",690,-61.39609509,15.482371,8.373784608,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,2.418814533,1.718304918,-0.994522946,0.040779603,1.610350111,-0.932777696,-0.349721228,0.400951102,1.017401824,-1.093462896,0.279511171,2.277104524,0.877422637,0.58570853,1.006150816,-0.111104059,-0.176350749,0.208421918,-0.365111047,0.349385303,0.829832011,-0.002220129,0.08853771,-0.158436816,-0.418320908,3.00599831,1.680507203,-0.948631514,0.107010011,1.831147405,-0.877477752,-0.389910533,0.481504975,1.039396634,-1.150012226,0.221449682,1.933231613,0.954033144,0.664616401,1.075606044,-0.110595904,-0.187619019,0.201658232,-0.318855584,0.378991159,0.866875881,0.046158973,0.142969697,-0.19873668,-0.409826658
"691","Pol_691",691,-61.39900218,15.48425097,9.214332393,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.59490959,1.226253548,-0.539816093,0.960231563,1.630876752,-0.464206782,1.102464772,0.403536898,0.768758633,0.411997121,-0.11829811,2.09677991,0.938331065,-1.520674164,-1.588604717,-0.111866292,-0.266082129,0.217337686,-0.136978292,0.132727777,0.687070636,0.360790243,0.192593168,-0.240974555,-0.146339024,0.553056305,1.122136382,-0.573535927,0.875893004,1.831147405,-0.481062914,1.291137391,0.481504975,0.739388989,0.483622212,-0.060060467,1.933231613,0.954033144,-1.436886493,-1.68297884,-0.110595904,-0.187619019,0.201658232,-0.118313807,0.162778151,0.669567144,0.354326321,0.142969697,-0.19873668,-0.153363652
"692","Pol_692",692,-61.39756882,15.48761793,8.391176351,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.016190914,1.108541294,0.093888381,2.065500275,1.307201342,0.01116573,1.893031561,-0.294203584,0.182437226,-1.501319893,-1.419524828,2.257788126,0.895158828,0.852462694,-0.240656051,-0.608079847,-0.028134971,-0.202318284,0.055448491,-0.652115418,0.568488037,0.258263637,1.213226278,0.127742307,0.455228802,0.02176136,1.122136382,0.11546667,1.867996434,1.262373878,0.062177711,1.883466031,-0.343354519,0.130528823,-1.480597353,-1.309211451,1.933231613,0.954033144,0.879018736,-0.179387199,-0.598424898,-0.017696266,-0.187714871,0.001458425,-0.757452752,0.561274509,0.201109959,1.127627167,0.138733313,0.537397944
"693","Pol_693",693,-61.27729849,15.50544285,NA,0,0,0.96,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277286391,3.837096177,0.991160542,6.402064539,3.408776722,0.396343147,4.385462888,-1.496603741,-1.446494212,0.337946508,2.031151363,-1.12348949,-1.047257579,0.263260247,1.194437476,-0.584196553,-1.10940502,-1.000586948,-0.578332501,-1.981426031,-2.525857125,-1.891027097,-0.958148613,3.08254239,4.997281013,0.32000642,3.04182534,1.139443662,3.055549049,3.189055111,0.428133221,2.951118861,-1.503502945,-1.319519174,0.288496912,2.067860317,-1.121619019,-1.073218308,0.266747032,1.265786567,-0.598424898,-1.161287455,-0.94632374,-0.58386084,-1.89564979,-2.32158815,-1.704785318,-1.026373153,3.111119492,3.003062641
